date,total_daily_expense,outlier_count_today,dayofweek,month,year,dayofyear,is_month_start,is_holiday,lag_1,lag_7,rolling_mean_7,rolling_std_7,rolling_outlier_sum_7
2019-01-08,1457.0,0,1,1,2019,8,0,0,2761.0,132.0,1002.1428571428571,927.9918154400982,0.0
2019-01-09,1477.0,0,2,1,2019,9,0,0,1457.0,859.0,1090.4285714285713,941.404244934636,0.0
2019-01-10,2022.0,0,3,1,2019,10,0,0,1477.0,715.0,1277.142857142857,983.2170714159764,0.0
2019-01-11,2266.0,0,4,1,2019,11,0,0,2022.0,135.0,1581.5714285714287,896.744641679532,0.0
2019-01-12,6039.0,0,5,1,2019,12,0,0,2266.0,0.0,2444.285714285714,1682.3730971741193,0.0
2019-01-13,1616.0,0,6,1,2019,13,0,0,6039.0,1088.0,2519.714285714286,1622.1896430735953,0.0
2019-01-14,1962.0,0,0,1,2019,14,0,0,1616.0,2761.0,2405.5714285714284,1630.4713896235507,0.0
2019-01-15,321.0,0,1,1,2019,15,0,0,1962.0,1457.0,2243.285714285714,1789.4093731625262,0.0
2019-01-16,0.0,0,2,1,2019,16,0,0,321.0,1477.0,2032.2857142857142,1972.536667532927,0.0
2019-01-17,3007.0,0,3,1,2019,17,0,0,0.0,2022.0,2173.0,2006.521201815055,0.0
2019-01-18,0.0,0,4,1,2019,18,0,0,3007.0,2266.0,1849.2857142857142,2165.5063852969597,0.0
2019-01-19,393.0,0,5,1,2019,19,0,0,0.0,6039.0,1042.7142857142858,1165.451802848107,0.0
2019-01-20,568.0,0,6,1,2019,20,0,0,393.0,1616.0,893.0,1146.695542272082,0.0
2019-01-21,996.0,0,0,1,2019,21,0,0,568.0,1962.0,755.0,1050.714360169625,0.0
2019-01-22,7350.0,0,1,1,2019,22,0,0,996.0,321.0,1759.142857142857,2673.061692053479,0.0
2019-01-23,1501.0,0,2,1,2019,23,0,0,7350.0,0.0,1973.5714285714287,2566.5070203906093,0.0
2019-01-24,150.0,0,3,1,2019,24,0,0,1501.0,3007.0,1565.4285714285713,2601.7021259900125,0.0
2019-01-25,0.0,0,4,1,2019,25,0,0,150.0,0.0,1565.4285714285713,2601.7021259900125,0.0
2019-01-26,1296.0,0,5,1,2019,26,0,1,0.0,393.0,1694.4285714285713,2555.863836823267,0.0
2019-01-27,3242.0,0,6,1,2019,27,0,0,1296.0,568.0,2076.4285714285716,2559.2742367803453,0.0
2019-01-28,3252.0,0,0,1,2019,28,0,0,3242.0,996.0,2398.714285714286,2542.533953512107,0.0
2019-01-29,181.0,0,1,1,2019,29,0,0,3252.0,7350.0,1374.5714285714287,1405.2176411672383,0.0
2019-01-30,4623.0,0,2,1,2019,30,0,0,181.0,1501.0,1820.5714285714287,1870.4594673629306,0.0
2019-01-31,1557.0,0,3,1,2019,31,0,0,4623.0,150.0,2021.5714285714287,1731.4524593668802,0.0
2019-02-01,71.0,0,4,2,2019,32,1,0,1557.0,0.0,2031.7142857142858,1717.7904135143797,0.0
2019-02-02,2553.0,0,5,2,2019,33,1,0,71.0,1296.0,2211.285714285714,1693.5940790998013,0.0
2019-02-03,2079.0,0,6,2,2019,34,1,0,2553.0,3242.0,2045.142857142857,1631.5365384172294,0.0
2019-02-04,988.0,0,0,2,2019,35,1,0,2079.0,3252.0,1721.7142857142858,1575.874012972453,0.0
2019-02-05,3774.0,0,1,2,2019,36,1,0,988.0,181.0,2235.0,1575.5482643617531,0.0
2019-02-06,3081.0,0,2,2,2019,37,1,0,3774.0,4623.0,2014.7142857142858,1262.7750808286894,0.0
2019-02-07,1512.0,0,3,2,2019,38,1,0,3081.0,1557.0,2008.2857142857142,1265.6049560435133,0.0
2019-02-08,67.0,0,4,2,2019,39,0,0,1512.0,71.0,2007.7142857142858,1266.6259266631316,0.0
2019-02-09,7623.0,0,5,2,2019,40,0,0,67.0,2553.0,2732.0,2489.578813106078,0.0
2019-02-10,2187.0,0,6,2,2019,41,0,0,7623.0,2079.0,2747.4285714285716,2485.1883132633943,0.0
2019-02-11,3495.0,0,0,2,2019,42,0,0,2187.0,988.0,3105.5714285714284,2367.2197375221185,0.0
2019-02-12,0.0,0,1,2,2019,43,0,0,3495.0,3774.0,2566.4285714285716,2607.215235785931,0.0
2019-02-13,6393.0,0,2,2,2019,44,0,0,0.0,3081.0,3039.5714285714284,2988.7635044804542,0.0
2019-02-14,0.0,0,3,2,2019,45,0,0,6393.0,1512.0,2823.5714285714284,3166.8904758002423,0.0
2019-02-15,534.0,0,4,2,2019,46,0,0,0.0,67.0,2890.285714285714,3103.424652126836,0.0
2019-02-16,5239.0,0,5,2,2019,47,0,0,534.0,7623.0,2549.714285714286,2585.0022381863755,0.0
2019-02-17,0.0,0,6,2,2019,48,0,0,5239.0,2187.0,2237.285714285714,2762.2339820204534,0.0
2019-02-18,11395.0,0,0,2,2019,49,0,0,0.0,3495.0,3365.8571428571427,4456.190279770805,0.0
2019-02-19,3236.0,0,1,2,2019,50,0,0,11395.0,0.0,3828.1428571428573,4209.863474768567,0.0
2019-02-20,2269.0,0,2,2,2019,51,0,0,3236.0,6393.0,3239.0,4077.591445939625,0.0
2019-02-21,0.0,0,3,2,2019,52,0,0,2269.0,0.0,3239.0,4077.591445939625,0.0
2019-02-22,1430.0,0,4,2,2019,53,0,0,0.0,534.0,3367.0,3991.6846902863795,0.0
2019-02-23,0.0,0,5,2,2019,54,0,0,1430.0,5239.0,2618.5714285714284,4072.521080655195,0.0
2019-02-24,87.0,0,6,2,2019,55,0,0,0.0,0.0,2631.0,4063.3201531096056,0.0
2019-02-25,573.0,0,0,2,2019,56,0,0,87.0,11395.0,1085.0,1275.4267259757958,0.0
2019-02-26,1000382.0,0,1,2,2019,57,0,0,573.0,3236.0,143534.42857142858,377835.22638528433,0.0
2019-02-27,6424.0,0,2,2,2019,58,0,0,1000382.0,2269.0,144128.0,377579.4909265244,0.0
2019-02-28,3589.0,0,3,2,2019,59,0,0,6424.0,0.0,144640.7142857143,377353.5304846611,0.0
2019-03-01,216.0,0,4,3,2019,60,1,0,3589.0,1430.0,144467.2857142857,377430.5897961965,0.0
2019-03-02,606.0,0,5,3,2019,61,1,0,216.0,0.0,144553.85714285713,377391.998039805,0.0
2019-03-03,4610.0,0,6,3,2019,62,1,0,606.0,87.0,145200.0,377107.19274984224,0.0
2019-03-04,0.0,0,0,3,2019,63,1,0,4610.0,573.0,145118.14285714287,377143.8790233901,0.0
2019-03-05,250.0,0,1,3,2019,64,1,0,0.0,1000382.0,2242.1428571428573,2604.059550564138,0.0
2019-03-06,3799.0,0,2,3,2019,65,1,0,250.0,6424.0,1867.142857142857,2026.419537727649,0.0
2019-03-07,7957.0,0,3,3,2019,66,1,0,3799.0,3589.0,2491.1428571428573,3055.9830076236153,0.0
2019-03-08,309.0,0,4,3,2019,67,0,0,7957.0,216.0,2504.4285714285716,3044.6244901040623,0.0
2019-03-09,1639.0,0,5,3,2019,68,0,0,309.0,606.0,2652.0,2961.163172363261,0.0
2019-03-10,9145.0,0,6,3,2019,69,0,0,1639.0,4610.0,3299.8571428571427,3829.6687597690307,0.0
2019-03-11,671.0,0,0,3,2019,70,0,0,9145.0,0.0,3395.714285714286,3740.6703817349303,0.0
2019-03-12,517.0,0,1,3,2019,71,0,0,671.0,250.0,3433.8571428571427,3704.433894162173,0.0
2019-03-13,1348.0,0,2,3,2019,72,0,0,517.0,3799.0,3083.714285714286,3779.2471346538036,0.0
2019-03-14,747.0,0,3,3,2019,73,0,0,1348.0,7957.0,2053.714285714286,3161.784133173719,0.0
2019-03-15,2287.0,0,4,3,2019,74,0,0,747.0,309.0,2336.285714285714,3066.831737280195,0.0
2019-03-16,584.0,0,5,3,2019,75,0,0,2287.0,1639.0,2185.5714285714284,3132.039689894556,0.0
2019-03-17,676.0,0,6,3,2019,76,0,0,584.0,9145.0,975.7142857142857,639.910856908361,0.0
2019-03-18,75.0,0,0,3,2019,77,0,0,676.0,671.0,890.5714285714286,721.642306877109,0.0
2019-03-19,131.0,0,1,3,2019,78,0,0,75.0,517.0,835.4285714285714,768.1920023068805,0.0
2019-03-20,5043.0,0,2,3,2019,79,0,0,131.0,1348.0,1363.2857142857142,1780.9739577328153,0.0
2019-03-21,6056.0,0,3,3,2019,80,0,1,5043.0,747.0,2121.714285714286,2471.38528726753,0.0
2019-03-22,963.0,0,4,3,2019,81,0,0,6056.0,2287.0,1932.5714285714287,2507.034959018617,0.0
2019-03-23,631.0,0,5,3,2019,82,0,0,963.0,584.0,1939.2857142857142,2502.880787836774,0.0
2019-03-24,3297.0,0,6,3,2019,83,0,0,631.0,676.0,2313.714285714286,2478.3258270027895,0.0
2019-03-25,2962.0,0,0,3,2019,84,0,0,3297.0,75.0,2726.1428571428573,2275.6077890425067,0.0
2019-03-26,4746.0,0,1,3,2019,85,0,0,2962.0,131.0,3385.4285714285716,2056.404536825055,0.0
2019-03-27,0.0,0,2,3,2019,86,0,0,4746.0,5043.0,2665.0,2252.8966539458606,0.0
2019-03-28,6396.0,0,3,3,2019,87,0,0,0.0,6056.0,2713.5714285714284,2340.1647276224103,0.0
2019-03-29,293.0,0,4,3,2019,88,0,0,6396.0,963.0,2617.8571428571427,2435.4589867656573,0.0
2019-03-30,2647.0,0,5,3,2019,89,0,0,293.0,631.0,2905.8571428571427,2275.2803071748267,0.0
2019-03-31,2750.0,0,6,3,2019,90,0,0,2647.0,3297.0,2827.714285714286,2268.992339811297,0.0
2019-04-01,1478.0,0,0,4,2019,91,1,0,2750.0,2962.0,2615.714285714286,2323.0384352084443,0.0
2019-04-02,736.0,0,1,4,2019,92,1,0,1478.0,4746.0,2042.857142857143,2201.4047355157095,0.0
2019-04-03,1352.0,0,2,4,2019,93,1,0,736.0,0.0,2236.0,2046.1339969221215,0.0
2019-04-04,2215.0,0,3,4,2019,94,1,0,1352.0,6396.0,1638.7142857142858,941.415196104138,0.0
2019-04-05,1345.0,0,4,4,2019,95,1,0,2215.0,293.0,1789.0,756.6148293730479,0.0
2019-04-06,1848.0,0,5,4,2019,96,1,0,1345.0,2647.0,1674.857142857143,659.6606270533057,0.0
2019-04-07,1133.0,0,6,4,2019,97,1,0,1848.0,2750.0,1443.857142857143,478.7244958056596,0.0
2019-04-08,107.0,0,0,4,2019,98,0,0,1133.0,1478.0,1248.0,694.3298927939509,0.0
2019-04-09,857.0,0,1,4,2019,99,0,0,107.0,736.0,1265.2857142857142,680.833977405037,0.0
2019-04-10,624.0,0,2,4,2019,100,0,0,857.0,1352.0,1161.2857142857142,719.8640414151174,0.0
2019-04-11,5620.0,0,3,4,2019,101,0,0,624.0,2215.0,1647.7142857142858,1835.8810522804736,0.0
2019-04-12,559.0,0,4,4,2019,102,0,0,5620.0,1345.0,1535.4285714285713,1880.9643676604255,0.0
2019-04-13,317.0,0,5,4,2019,103,0,0,559.0,1848.0,1316.7142857142858,1927.008797278611,0.0
2019-04-14,3056.0,0,6,4,2019,104,0,0,317.0,1133.0,1591.4285714285713,2030.7332712778518,0.0
2019-04-15,7132.0,0,0,4,2019,105,0,0,3056.0,107.0,2595.0,2774.514371926577,0.0
2019-04-16,2832.0,0,1,4,2019,106,0,0,7132.0,857.0,2877.1428571428573,2666.6418600087472,0.0
2019-04-17,854.0,0,2,4,2019,107,0,0,2832.0,624.0,2910.0,2635.4876209208605,0.0
2019-04-18,125.0,0,3,4,2019,108,0,0,854.0,5620.0,2125.0,2509.094126046392,0.0
2019-04-19,1806.0,0,4,4,2019,109,0,0,125.0,559.0,2303.1428571428573,2422.1402676594994,0.0
2019-04-20,3133.0,0,5,4,2019,110,0,0,1806.0,317.0,2705.4285714285716,2266.1142849397665,0.0
2019-04-21,1324.0,0,6,4,2019,111,0,0,3133.0,3056.0,2458.0,2315.4748253206744,0.0
2019-04-22,411.0,0,0,4,2019,112,0,0,1324.0,7132.0,1497.857142857143,1158.9761902433738,0.0
2019-04-23,287.0,0,1,4,2019,113,0,0,411.0,2832.0,1134.2857142857142,1066.1694228041383,0.0
2019-04-24,748.0,0,2,4,2019,114,0,0,287.0,854.0,1119.142857142857,1071.552989614178,0.0
2019-04-25,1948.0,0,3,4,2019,115,0,0,748.0,125.0,1379.5714285714287,1009.3956702279172,0.0
2019-04-26,0.0,0,4,4,2019,116,0,0,1948.0,1806.0,1121.5714285714287,1108.2046828428815,0.0
2019-04-27,593.0,0,5,4,2019,117,0,0,0.0,3133.0,758.7142857142857,668.4049955846726,0.0
2019-04-28,2368.0,0,6,4,2019,118,0,0,593.0,1324.0,907.8571428571429,893.9741660423432,0.0
2019-04-29,973.0,0,0,4,2019,119,0,0,2368.0,411.0,988.1428571428571,866.7366821692513,0.0
2019-04-30,291.0,0,1,4,2019,120,0,0,973.0,287.0,988.7142857142857,866.198536589153,0.0
2019-05-01,0.0,0,2,5,2019,121,1,0,291.0,748.0,881.8571428571429,943.5290895804108,0.0
2019-05-02,233.0,0,3,5,2019,122,1,0,0.0,1948.0,636.8571428571429,837.2238706290747,0.0
2019-05-03,705.0,0,4,5,2019,123,1,0,233.0,0.0,737.5714285714286,788.8510330906986,0.0
